message_id,customer_msg
1721608,@119959 @115828 I preordered this game 14 months ago just to be sent it for the wrong console. FML... https://t.co/EMBHygMbOL
665592,@AmazonHelp 2ème colis qui devait arriver aujourd'hui et ne le sera pas...C'est quoi votre engagement Prime déjà?
820663,@115821 are y’all ever gonna transfer my $50 gc on an account you closed without telling me...? jw
2110004,@115821 dudes. You refunded me for the wrong item. I got my wine. Just not my #reesespeanutbuttercups the wine cost more! I only needed $4!
399101,@AmazonHelp Fuck u then why the hell u r having @AmazonHelp Twitter handle
379365,@AmazonHelp I had a scheduled furniture assembly yesterday which never happened. Upon calling the customer care they could not help much apart.
2262990,@115821 don’t tell me I got guaranteed delivery and then change the date the day I’m supposed to get everything 😤
457656,@AmazonHelp Amazon shipping.
1856105,@AmazonHelp just had chat with a representative and got assured delivery by 5 pm today. Lets see what happens....
1290402,@AmazonHelp My lights all appear here but my Dots do not. Should this be where I select them to add? https://t.co/L7OX9LKLlD
2113644,@AmazonHelp It was a prime delivery option so should have had it Monday! Still says it’s out for delivery! You’ve also lost another parcel as well 👍🏼
485273,@AmazonHelp A special amazon line will be contacting me after a 24 hour investigation.. 3 days ago
1177151,@115821 your cust.service just implied that my missing items are my fault for living somewhere unsafe. Poor people dont deserve to get mail?
109807,"@AmazonHelp Hablo para que me hagan los reembolsos, me llega el correo de que ya quedó y en unas horas diciéndome que no se pudo hacer efectivo pues necesitan más información, y se vuelve a repetir el ciclo."
1252203,"@AmazonHelp haven't got the cashback for the 1st Recharge via Amazon pay, it's being 15 days now, the recharge was meant for @120602"
2804319,@AmazonHelp 毎週お世話になってます🙏🙏
2608096,"@AmazonHelp No message, just a blank screen. Was working fine then just stopped. Is working on iPad just not tv"
2830675,"Pre-orders are all well and good, @115830, but not when you immediately go out of stock of that item... and then won’t allow the order to be cancelled! https://t.co/lwpqSPVHGb"
2470068,@AmazonHelp Please find all details of order no. 405-3693108-4127531.
1477275,"@AmazonHelp The advisor said it was a duplicated order and they'd resolve it, but it's still showing ... https://t.co/ilOLeYn8J7"
62415,@117086 EU TE VENEROOOOOO MEUS LIVROS JÁ CHEGARAM SCRR
547962,@115851 @115821 Amanda in your leadership team in your Oregon call center cost you a customer. Everything is canceled. Great Job Amazon!
2529310,"@116618 can you please let us buffer the video? I let the web page open for an hour, hoping the little HD icon would light up, in vain. I don't wanna watch content in 360p under the pretense that my internet connection is too slow for 1080p stream without buffer."
1668879,@117086 e @263285 faz um aplicativo fora da Playstore com suporte ao Android TV ou começa a vender o Firestick por aqui também.
2671599,"@AmazonHelp My mobile number listed is 9673101122, but u can reach me on 9818601122"
1243790,@115821 one question. If i buy Amazon Fire HD Tablet with Special Offers I can in the future pay 10 more GBP to remove ads? #Amazon #FireHD
2884194,@AmazonHelp I guess you asking me wasn't to actually help me. Maybe it was just to make the appearance of helping me?
2922466,@AmazonHelp (ಠ_ಠ) Didnt realize your couriers needed reminders about basic fire safety.
1613582,"@115850 Need help, with the status on two refunds. Been a month already since I sent the shipment back. Thanks."
2718032,"@ AmazonFR paid for 22 quantities of VR Headset received confirmation, but only 1 delivered"
2132832,"@AmazonHelp Says looks like it's lost, check the the options below. But there aren't any!"
2317797,割と長い期間Amazonのプライム会員だけど、本の読み放題あるの今知った。
1416745,@AmazonHelp But can not understand the cause of delay
